T2,Name,RAJ2000,DEJ2000,Flux,e_Flux,Mass,e_Mass,recno,detection
*,"IRS2   ",85.44087,-1.908333,241.0,32.0,0.0,0.0,1,detected
*,"IRC101 ",85.43929,-1.907194,204.8,1.15,1055.2,5.94,2,detected
*,"IRC067 ",85.43804,-1.913111,37.1,0.18,190.9,0.91,3,detected
*,"IRC086 ",85.43684,-1.909972,27.0,0.39,139.4,2.02,4,detected
*,"IRC044 ",85.43146,-1.919944,18.5,0.13,95.3,0.69,5,detected
*,"IRC153 ",85.436455,-1.896833,15.3,0.39,78.9,2.0,6,detected
,"IRC215 ",85.401,-1.906778,13.0,0.15,67.2,0.77,7,detected
,"IRC036 ",85.43408,-1.922361,12.2,0.38,63.0,1.96,8,detected
*,"IRC133 ",85.42729,-1.900861,10.9,0.14,56.3,0.72,9,detected
,"IRC128 ",85.43779,-1.901806,10.5,0.17,54.1,0.9,10,detected
,"IRC033 ",85.43504,-1.923083,10.0,0.43,51.5,2.23,11,detected
,"IRC058 ",85.43437,-1.915417,8.7,0.13,45.1,0.69,12,detected
,"IRC124 ",85.42725,-1.902444,8.2,0.35,42.5,1.79,13,detected
,"IRC123 ",85.4235,-1.903444,7.8,0.14,40.4,0.71,14,detected
,"IRC158 ",85.419334,-1.896778,6.9,0.14,35.7,0.73,15,detected
,"IRC197 ",85.431206,-1.890194,6.8,0.14,35.3,0.74,16,detected
,"IRC090 ",85.43021,-1.909556,5.9,0.14,30.2,0.7,17,detected
,"IRC180 ",85.41746,-1.892833,5.7,0.15,29.1,0.75,18,detected
,"IRC115 ",85.42833,-1.904583,5.5,0.14,28.2,0.7,19,detected
,"IRC160 ",85.42754,-1.896333,5.3,0.14,27.4,0.73,20,detected
,"IRC059 ",85.43767,-1.91525,5.2,0.17,26.8,0.87,21,detected
,"IRC165 ",85.42379,-1.895667,4.6,0.14,23.5,0.73,22,detected
,"IRC208 ",85.426414,-1.887778,3.8,0.15,19.7,0.78,23,detected
,"IRC175 ",85.43496,-1.893361,3.0,0.15,15.4,0.75,24,detected
,"IRC150 ",85.433,-1.897639,2.9,0.14,15.0,0.73,25,detected
,"IRC116 ",85.409294,-1.904917,2.8,0.14,14.6,0.72,26,detected
,"IRC144 ",85.40342,-1.899722,2.8,0.14,14.5,0.73,27,detected
,"IRC057 ",85.440544,-1.916139,2.7,0.5,13.8,2.56,28,detected
,"IRC184 ",85.422295,-1.892444,2.6,0.14,13.4,0.74,29,detected
,"IRC120 ",85.41333,-1.903972,2.6,0.14,13.2,0.72,30,detected
,"IRC236 ",85.43421,-1.923333,2.5,0.18,12.9,0.91,31,detected
,"IRC143 ",85.4315,-1.899111,2.2,0.14,11.3,0.72,32,detected
,"IRC206 ",85.42871,-1.887917,2.1,0.15,11.0,0.77,33,detected
,"IRC089 ",85.43288,-1.9095,1.9,0.34,9.8,1.77,34,detected
,"IRC081 ",85.407295,-1.911472,1.9,0.13,9.8,0.69,35,detected
,"IRC103 ",85.42492,-1.906722,1.7,0.14,9.0,0.7,36,detected
,"IRC119 ",85.40283,-1.90425,1.3,0.14,6.7,0.73,37,detected
,"IRC168 ",85.43383,-1.895167,1.3,0.14,6.5,0.74,38,detected
,"IRC170 ",85.43271,-1.894056,1.2,0.14,6.3,0.74,39,detected
,"IRC032 ",85.43471,-1.923611,1.2,0.19,6.2,0.98,40,detected
,"IRC093 ",85.440125,-1.908111,1.2,0.36,6.0,1.86,41,detected
,"IRC080 ",85.42821,-1.910944,1.1,0.13,5.7,0.7,42,detected
,"IRC077 ",85.42929,-1.911278,1.1,0.14,5.5,0.7,43,detected
,"IRC121 ",85.43108,-1.903444,1.0,0.14,5.1,0.71,44,detected
,"IRC131 ",85.434296,-1.901444,1.0,0.14,5.1,0.72,45,detected
,"IRC199 ",85.40125,-1.890194,0.9,0.15,4.8,0.8,46,detected
,IRC115B,85.42833,-1.904583,0.8,0.14,4.3,0.71,47,detected
,"IRC025 ",85.42725,-1.927111,0.8,0.13,4.2,0.65,48,detected
,"IRC187 ",85.43058,-1.891722,0.8,0.14,4.1,0.74,49,detected
,"IRC083 ",85.422874,-1.910944,0.7,0.13,3.5,0.69,50,detected
,"IRC074 ",85.432335,-1.911611,0.7,0.13,3.4,0.7,51,detected
,"IRC099 ",85.43679,-1.907028,0.6,0.15,3.3,0.78,52,detected
,"IRC072 ",85.422455,-1.912417,0.6,0.13,3.1,0.69,53,detected
,"IRC194 ",85.41867,-1.890917,0.6,0.15,3.0,0.77,54,detected
,"IRC173 ",85.403915,-1.894306,0.6,0.15,2.9,0.75,55,detected
,"IRC070 ",85.40346,-1.913361,0.6,0.13,2.8,0.69,56,detected
,"IRC045 ",85.425835,-1.919472,0.5,0.14,2.5,0.7,57,detected
,"IRC219 ",85.43054,-1.918611,0.5,0.13,2.5,0.7,58,detected
